Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-02-05 09:30:00-05:00,228.49000549316406,229.49000549316406,228.3000030517578,229.39529418945312,2553058,0.0,0.0
2025-02-05 09:31:00-05:00,229.38999938964844,230.22500610351562,229.32000732421875,229.4600067138672,404759,0.0,0.0
2025-02-05 09:32:00-05:00,229.4600067138672,229.9499053955078,228.6699981689453,229.8699951171875,303375,0.0,0.0
2025-02-05 09:33:00-05:00,229.82000732421875,229.94500732421875,229.13999938964844,229.1558074951172,226783,0.0,0.0
2025-02-05 09:34:00-05:00,229.16000366210938,229.42999267578125,228.94009399414062,229.23719787597656,210948,0.0,0.0
2025-02-05 09:35:00-05:00,229.22999572753906,229.4199981689453,229.03500366210938,229.38999938964844,196481,0.0,0.0
2025-02-05 09:36:00-05:00,229.39999389648438,229.75889587402344,229.38999938964844,229.38999938964844,155891,0.0,0.0
2025-02-05 09:37:00-05:00,229.41000366210938,229.4600067138672,229.19000244140625,229.34010314941406,128188,0.0,0.0
2025-02-05 09:38:00-05:00,229.3800048828125,229.80999755859375,229.22500610351562,229.80999755859375,122694,0.0,0.0
2025-02-05 09:39:00-05:00,229.8300018310547,230.16000366210938,229.80999755859375,230.14999389648438,142865,0.0,0.0
2025-02-05 09:40:00-05:00,230.13999938964844,230.39999389648438,230.13999938964844,230.24000549316406,131078,0.0,0.0
2025-02-05 09:41:00-05:00,230.2449951171875,230.51499938964844,230.07000732421875,230.0850067138672,210112,0.0,0.0
2025-02-05 09:42:00-05:00,230.07000732421875,230.1699981689453,229.89999389648438,230.08999633789062,171741,0.0,0.0
2025-02-05 09:43:00-05:00,230.0800018310547,230.0800018310547,229.77999877929688,229.8000030517578,133280,0.0,0.0
2025-02-05 09:44:00-05:00,229.8000030517578,230.00999450683594,229.77000427246094,229.85000610351562,134853,0.0,0.0
2025-02-05 09:45:00-05:00,229.86000061035156,230.05999755859375,229.8300018310547,229.89500427246094,101409,0.0,0.0
2025-02-05 09:46:00-05:00,229.88499450683594,230.0500030517578,229.83999633789062,229.94009399414062,80676,0.0,0.0
2025-02-05 09:47:00-05:00,229.9600067138672,230.22999572753906,229.9499969482422,230.22999572753906,106746,0.0,0.0
2025-02-05 09:48:00-05:00,230.2050018310547,230.39999389648438,230.02999877929688,230.38499450683594,119253,0.0,0.0
2025-02-05 09:49:00-05:00,230.39999389648438,230.4199981689453,230.23500061035156,230.32000732421875,75671,0.0,0.0
2025-02-05 09:50:00-05:00,230.0800018310547,230.0800018310547,230.05999755859375,230.07000732421875,117897,0.0,0.0
2025-02-05 09:51:00-05:00,230.22999572753906,230.22999572753906,230.03529357910156,230.05999755859375,100612,0.0,0.0
2025-02-05 09:52:00-05:00,229.8800048828125,229.88999938964844,229.60000610351562,229.85000610351562,219531,0.0,0.0
2025-02-05 09:54:00-05:00,229.94000244140625,229.97000122070312,229.91000366210938,229.92999267578125,207511,0.0,0.0
2025-02-05 09:56:00-05:00,230.57000732421875,230.60000610351562,230.57000732421875,230.60000610351562,211810,0.0,0.0
