Datetime,Open,High,Low,Close,Volume,Price Change,Daily Range
2025-02-05 09:30:00-05:00,228.4900054931641,229.4900054931641,228.3000030517578,229.39529418945312,2553058,0.91,1.19
2025-02-05 09:31:00-05:00,229.38999938964844,230.2250061035156,229.32000732421875,229.4600067138672,404759,0.07,0.9
2025-02-05 09:32:00-05:00,229.4600067138672,229.9499053955078,228.6699981689453,229.8699951171875,303375,0.41,1.28
2025-02-05 09:33:00-05:00,229.82000732421875,229.94500732421875,229.13999938964844,229.1558074951172,226783,-0.66,0.81
2025-02-05 09:34:00-05:00,229.16000366210935,229.42999267578125,228.94009399414065,229.23719787597656,210948,0.08,0.49
2025-02-05 09:35:00-05:00,229.22999572753903,229.4199981689453,229.03500366210935,229.38999938964844,196481,0.16,0.38
2025-02-05 09:36:00-05:00,229.3999938964844,229.75889587402344,229.38999938964844,229.38999938964844,155891,-0.01,0.37
2025-02-05 09:37:00-05:00,229.41000366210935,229.4600067138672,229.19000244140625,229.3401031494141,128188,-0.07,0.27
2025-02-05 09:38:00-05:00,229.3800048828125,229.80999755859372,229.2250061035156,229.80999755859372,122694,0.43,0.58
2025-02-05 09:39:00-05:00,229.8300018310547,230.16000366210935,229.80999755859372,230.1499938964844,142865,0.32,0.35
2025-02-05 09:40:00-05:00,230.13999938964844,230.3999938964844,230.13999938964844,230.2400054931641,131078,0.1,0.26
2025-02-05 09:41:00-05:00,230.2449951171875,230.51499938964844,230.07000732421875,230.0850067138672,210112,-0.16,0.44
2025-02-05 09:42:00-05:00,230.07000732421875,230.1699981689453,229.8999938964844,230.08999633789065,171741,0.02,0.27
2025-02-05 09:43:00-05:00,230.0800018310547,230.0800018310547,229.77999877929688,229.8000030517578,133280,-0.28,0.3
2025-02-05 09:44:00-05:00,229.8000030517578,230.00999450683597,229.7700042724609,229.8500061035156,134853,0.05,0.24
2025-02-05 09:45:00-05:00,229.8600006103516,230.05999755859372,229.8300018310547,229.8950042724609,101409,0.04,0.23
2025-02-05 09:46:00-05:00,229.88499450683597,230.0500030517578,229.83999633789065,229.94009399414065,80676,0.06,0.21
2025-02-05 09:47:00-05:00,229.9600067138672,230.22999572753903,229.9499969482422,230.22999572753903,106746,0.27,0.28
2025-02-05 09:48:00-05:00,230.2050018310547,230.3999938964844,230.02999877929688,230.38499450683597,119253,0.18,0.37
2025-02-05 09:49:00-05:00,230.3999938964844,230.4199981689453,230.2350006103516,230.32000732421875,75671,-0.08,0.18
2025-02-05 09:50:00-05:00,230.0800018310547,230.0800018310547,230.05999755859372,230.07000732421875,117897,-0.01,0.02
2025-02-05 09:51:00-05:00,230.22999572753903,230.22999572753903,230.0352935791016,230.05999755859372,100612,-0.17,0.19
2025-02-05 09:52:00-05:00,229.8800048828125,229.88999938964844,229.6000061035156,229.8500061035156,219531,-0.03,0.29
2025-02-05 09:54:00-05:00,229.94000244140625,229.97000122070312,229.91000366210935,229.92999267578125,207511,-0.01,0.06
2025-02-05 09:56:00-05:00,230.57000732421875,230.6000061035156,230.57000732421875,230.6000061035156,211810,0.03,0.03
2025-02-05 09:57:00-05:00,230.2738037109375,230.42999267578125,230.1000061035156,230.26849365234372,166778,-0.01,0.33
2025-02-05 09:58:00-05:00,230.14520263671875,230.22000122070312,230.01010131835935,230.0500030517578,72785,-0.1,0.21
2025-02-05 09:59:00-05:00,230.1199951171875,230.1699981689453,230.1100006103516,230.1649932861328,125167,0.04,0.06
2025-02-05 10:00:00-05:00,230.25999450683597,230.2700042724609,229.92999267578125,230.0,187685,-0.26,0.34
2025-02-05 10:01:00-05:00,229.9499969482422,230.0200042724609,229.94500732421875,229.9850006103516,117624,0.04,0.07
2025-02-05 10:02:00-05:00,229.94000244140625,229.99110412597656,229.8600006103516,229.8600006103516,78520,-0.08,0.13
2025-02-05 10:03:00-05:00,229.65530395507807,229.6793975830078,229.47000122070312,229.47000122070312,169789,-0.19,0.21
2025-02-05 10:04:00-05:00,229.2400054931641,229.4199981689453,229.22000122070312,229.4199981689453,144158,0.18,0.2
2025-02-05 10:05:00-05:00,229.38499450683597,229.44000244140625,229.3500061035156,229.3500061035156,101724,-0.03,0.09
2025-02-05 10:06:00-05:00,229.3300018310547,229.33909606933597,229.15899658203125,229.22999572753903,103710,-0.1,0.18
2025-02-05 10:07:00-05:00,229.13999938964844,229.13999938964844,229.13999938964844,229.13999938964844,121579,0.0,0.0
2025-02-05 10:08:00-05:00,229.22430419921875,229.38999938964844,229.1100006103516,229.139892578125,91626,-0.08,0.28
2025-02-05 10:09:00-05:00,229.1199951171875,229.17999267578125,228.82000732421875,228.9750061035156,122646,-0.14,0.36
2025-02-05 10:10:00-05:00,228.9900054931641,229.15989685058597,228.83999633789065,228.95989990234372,103404,-0.03,0.32
2025-02-05 10:11:00-05:00,228.9600067138672,229.00999450683597,228.75,228.80999755859372,130082,-0.15,0.26
2025-02-05 10:12:00-05:00,228.8500061035156,228.8600006103516,228.4600067138672,228.5352935791016,126447,-0.31,0.4
2025-02-05 10:13:00-05:00,228.5,228.66000366210935,228.4900054931641,228.6000061035156,83417,0.1,0.17
2025-02-05 10:14:00-05:00,228.6000061035156,229.0,228.5500030517578,228.97000122070312,188720,0.37,0.45
2025-02-05 10:15:00-05:00,228.9499969482422,229.0200042724609,228.82000732421875,228.9199981689453,129028,-0.03,0.2
2025-02-05 10:16:00-05:00,228.9199981689453,228.9748992919922,228.5399932861328,228.58999633789065,99932,-0.33,0.43
2025-02-05 10:17:00-05:00,228.6000061035156,228.97999572753903,228.54049682617188,228.970703125,61137,0.37,0.44
2025-02-05 10:18:00-05:00,228.9900054931641,229.0,228.63999938964844,228.7700042724609,66696,-0.22,0.36
2025-02-05 10:19:00-05:00,228.76499938964844,228.80419921875,228.5500030517578,228.5749969482422,67096,-0.19,0.25
2025-02-05 10:20:00-05:00,228.6199951171875,228.75,228.53500366210935,228.5399932861328,73372,-0.08,0.21
